"","Country","Gross domestic product, current prices","Inflation, average consumer prices","Inflation, end of period consumer prices","Population","Unemployment rate","Volume of exports of goods and services","Volume of imports of goods and services"
"87","Korea",NA,1.351,105.811,51.874,4,2.82,3.768
"88","Kosovo",8.126,2.243,104.008,1.827,NA,2.493,0.305
"89","Kuwait",136.94,2.5,194.198,4.701,1.322,1.92,3.24
"90","Kyrgyz Republic",8.334,2.208,162.009,6.51,6.799,3.342,5.497
"91","Lao P.D.R.",20.153,3.1,107.179,6.874,NA,5.979,6.107
"92","Latvia",35.721,2.427,108.784,1.929,7.346,1.2,3.1
"93","Lebanon",58.281,2.012,126.773,6.066,NA,7.095,5.127
"94","Lesotho",2.811,5.4,118.405,2.048,NA,4.014,13.385
"95","Liberia",3.221,22.326,778.567,4.578,NA,1.969,-4.414
"96","Libya",44.964,15,444.597,6.578,NA,-23.087,-6.269
"97","Lithuania",54.24,2.261,110.115,2.746,6.25,3.246,4.243
"98","Luxembourg",69.634,1.561,106.884,0.617,5.001,5.47,6.51
"99","Macao SAR",58.055,2.5,151.446,0.672,1.8,NA,NA
"100","Madagascar",12.734,6.654,501.828,27.055,NA,19.297,13.804
"101","Malawi",7.436,8.657,119.049,20.289,NA,2.189,7.662
"102","Malaysia",373.447,2.001,123.966,32.801,3.325,3.775,3.551
"103","Maldives",5.749,2.213,242.728,0.372,NA,6.741,0.316
"104","Mali",17.833,1.652,147.249,19.095,NA,0.91,4.778
"105","Malta",15.134,1.827,104.114,0.473,4.1,2.24,1.85
"106","Marshall Islands",0.22,0.163,150.131,0.057,NA,2.091,NA
"107","Mauritania",5.569,3.9,177.654,4.674,NA,16.665,2.284
"108","Mauritius",14.812,2.075,106.597,1.267,6.9,3.984,4.775
"109","Mexico",NA,3.807,106.193,125.929,3.485,3.313,2.965
"110","Micronesia",0.383,2,134.796,0.102,NA,NA,NA
"111","Moldova",12.037,3.321,NA,3.542,4.01,6.5,8.977
"112","Mongolia",13.696,8.437,126.389,3.3,9,0.412,-4.354
"113","Montenegro",5.443,0.947,282.043,0.625,NA,2.726,2.296
"114","Morocco",121.35,1.4,121.912,35.587,9.23,4.556,4.414
"115","Mozambique",15.372,4.167,127.688,31.157,NA,8.279,32.763
"116","Myanmar",65.665,7.523,156.46,53.019,4,11.285,5.396
"117","Namibia",13.961,5.2,142.062,2.46,NA,1.095,-0.238
"118","Nauru",0.114,2.5,127.95,0.013,NA,NA,NA
"119","Nepal",28.922,4.898,127.445,29.96,NA,NA,NA
"120","Netherlands",914.003,2.302,105.968,17.24,3.739,2.568,3.228
"121","New Zealand",210.475,1.955,147.353,5.013,4.357,2.199,4.231
"122","Nicaragua",12.612,5.142,231.172,6.359,23.408,-9.85,-9.015
"123","Niger",9.724,2.4,115.931,19.939,NA,10.526,18.77
"124","Nigeria",444.916,11.701,307.678,199.206,NA,4.973,12.506
"125","North Macedonia",12.884,1.796,115.087,2.079,18.886,11.307,9.532
"126","Norway",427.041,1.9,119.568,5.356,3.7,2.413,2.905
"127","Oman",79.458,1.5,156.025,4.394,NA,2.986,0.49
"128","Pakistan",278.019,7.644,245.785,204.729,6.14,3.197,-3.961
"129","Palau",0.31,2.35,128.547,0.019,NA,6.353,3.944
"130","Panama",70.155,1.5,106.235,4.219,6.115,6.589,2.683
"131","Papua New Guinea",21.453,4.3,724.885,8.601,NA,11.614,16.324
"132","Paraguay",42.352,3.6,107.328,7.153,5.748,0.207,4.019
"133","Peru",232.08,2.389,133.045,32.496,6.579,3.686,4.281
"134","Philippines",356.682,3.837,123.062,108.732,5.475,14.7,13.587
"135","Poland",593.295,1.96,174.908,37.959,3.578,5.164,6.597
"136","Portugal",239.473,1,107.171,10.273,6.821,4.129,5.229
"137","Puerto Rico",103.506,0.347,121.376,3.202,11,NA,NA
"138","Qatar",193.502,0.131,NA,2.753,NA,-1.157,2.065
"139","Republic of Congo",11.162,1.487,150.612,4.568,NA,15.048,7.931
"140","Romania",244.158,3.275,124.75,19.522,4.8,4.913,6.98
"141","Russia",NA,4.99,NA,143.896,4.8,3.264,3.8
"142","Rwanda",10.211,3.508,120.748,12.302,NA,10.5,11.243
"143","SÆo Tom‚ and Pr¡ncipe",0.477,7.817,131.782,0.222,NA,-1.715,3.282
"144","Samoa",0.902,5.141,123.777,0.201,NA,NA,NA
"145","San Marino",1.62,1.636,113.55,0.034,8.078,NA,NA
"146","Saudi Arabia",762.259,-0.7,106.008,33.867,NA,0.753,3.429
"147","Senegal",25.32,1.305,107.751,16.766,NA,6.706,7.729
"148","Serbia",52.424,2.006,196.381,6.965,13.449,6.61,6.789
"149","Seychelles",1.654,3.356,114.568,0.096,3,7.038,6.403
"150","Sierra Leone",3.998,15.761,289.534,7.737,NA,23.072,9.805
"151","Singapore",372.807,1.331,101.634,5.681,2,1.553,1.042
"152","Slovak Republic",109.863,2.397,106.217,5.451,6.1,5.737,5.077
"153","Slovenia",55.088,1.381,105.109,2.069,4.812,5.194,7.94
"154","Solomon Islands",1.511,1.655,200.131,0.641,NA,3.111,8.525
"155","Somalia",7.903,NA,118.551,NA,NA,NA,NA
"156","South Africa",371.298,4.956,116.172,58.643,27.527,2.425,3.032
"157","South Sudan",3.151,24.467,NA,13.378,NA,NA,NA
"158","Spain",NA,1.211,105.808,46.656,14.249,2.519,2.714
"159","Sri Lanka",84.164,4.5,131.984,21.934,4.4,4.72,6.106
"160","St. Kitts and Nevis",1.058,-0.04,107.417,0.057,NA,-2.436,6.858
"161","St. Lucia",1.971,1.919,120.041,0.178,NA,3.309,8.014
"162","St. Vincent and the Grenadines",0.864,1.991,113.727,0.11,NA,4.576,0.432
"163","Sudan",31.468,49.559,NA,43.222,21.4,-3.312,-7.296
"164","Suriname",3.683,5.408,144.833,0.598,6.95,1.326,4.776
"165","Sweden",547.123,1.851,107.37,10.322,6.254,1.536,2.01
"166","Switzerland",707.57,0.835,102.736,8.586,2.819,1.689,2.426
"167","Syria",NA,NA,NA,NA,NA,NA,NA
"168","Taiwan Province of China",601.431,1.145,102.314,23.634,3.66,1.078,-0.599
"169","Tajikistan",7.698,6.678,NA,9.292,NA,9.6,10.18
"170","Tanzania",61.032,3.465,355.173,52.067,NA,5.898,7.116
"171","Thailand",516.662,0.983,103.705,67.913,1.2,4.356,6.464
"172","The Bahamas",13.262,2.615,109.452,0.381,9.046,2.91,-0.203
"173","The Gambia",1.741,6.298,526.1,2.238,NA,7.552,12.06
"174","Timor-Leste",3.145,2.468,103.211,1.299,NA,NA,NA
"175","Togo",5.592,1.818,120.651,8.195,NA,6.74,2.391
"176","Tonga",0.493,5.817,133.868,0.101,NA,NA,NA
"177","Trinidad and Tobago",22.438,1.137,124.212,1.381,4.825,-14.279,-6.907
"178","Tunisia",36.204,7.466,129.156,11.783,NA,2.95,0.1
"179","Turkey",706.237,17.459,454.931,83.023,12.703,5,-7.197
"180","Turkmenistan",50.346,13,519.709,5.972,NA,8.891,41.11
"181","Tuvalu",0.049,3.681,169.624,0.011,NA,NA,NA
"182","Uganda",30.368,3.6,181.005,40.007,NA,7.531,9.854
"183","Ukraine",134.887,8.028,NA,41.878,8.523,4.72,4.391
"184","United Arab Emirates",427.876,2.135,287.897,10.749,NA,2.889,0.85
"185","United Kingdom",NA,1.837,108.753,66.867,4.229,2.448,3.148
"186","United States",NA,1.998,259.918,329.559,3.788,2.71,3.901
"187","Uruguay",60.231,7.633,200.617,3.519,8.114,-3.694,0.561
"188","Uzbekistan",49.199,16.463,NA,33.169,NA,8.051,9.077
"189","Vanuatu",0.942,1.991,160.858,0.292,NA,NA,NA
"190","Venezuela",76.458,NA,NA,28.067,44.337,-47.369,-57.365
"191","Vietnam",260.301,3.091,276.736,95.494,2.21,12.852,13.254
"192","Yemen",29.079,20,NA,31.648,NA,11.934,-6.552
"193","Zambia",24.615,10.75,246.606,18.321,NA,10.105,2.054
"194","Zimbabwe",22.29,73.425,120.568,15.658,NA,NA,NA
